18939013;56823175;2016;11;11/20/2016 9:35;11/25/2016 23:55;3529;1182;Ho Chi Minh City;Shanghai;1;1;12169256;;fully cellular containership;21355;5.597222222
18099897;48336723;2014;11;11/22/2014 16:26;11/28/2014 6:47;185;4474;Jebel Ali;Mundra;1;1;275690;OEL Dubai;fully cellular containership;34894;5.597916667
18771407;54037520;2016;4;4/4/2016 7:20;4/9/2016 21:41;670;5196;Surabaya;Manila;1;1;1187538;;fully cellular containership;42454;5.597916667
18429329;52471353;2015;11;11/17/2015 5:14;11/22/2015 19:36;2445;670;Jakarta;Surabaya;1;1;353135;Northern Volition;fully cellular containership;37874;5.598611111
18798424;53170787;2016;1;1/17/2016 23:53;1/23/2016 14:15;2978;1165;Colombo;Singapore;1;1;3382267;;fully cellular containership;90414;5.598611111
18576741;54221823;2016;4;4/19/2016 2:16;4/24/2016 16:38;2131;2594;Colon(PAN);Philadelphia;1;1;367416;MSC Nuria;fully cellular containership;63377;5.598611111
18013517;54247974;2016;4;4/22/2016 9:03;4/27/2016 23:25;115;4671;Port Klang;Tawau;1;1;253000;MTT Kinabalu;fully cellular containership;14191;5.598611111
18441152;44956207;2014;1;1/1/2014 15:52;1/7/2014 6:15;1441;207;Caldera(CRI);Puerto Quetzal;1;1;354691;Victoria Schulte;fully cellular containership;33900;5.599305556
18705306;45153969;2014;1;1/22/2014 15:30;1/28/2014 5:53;2733;5233;Cartagena(COL);Puerto Cabello;1;1;625017;Cala Paguro;fully cellular containership;21442;5.599305556
18380596;48105086;2014;11;10/30/2014 9:33;11/4/2014 23:56;3521;2248;La Spezia;Felixstowe;1;1;349907;MSC Tokyo;fully cellular containership;71949;5.599305556
18590747;54188580;2016;4;4/17/2016 20:57;4/23/2016 11:20;1817;941;Conakry;Algeciras;1;1;369972;Safmarine Nile;fully cellular containership;34100;5.599305556
18296776;45095570;2014;1;1/17/2014 9:00;1/22/2014 23:23;2833;4042;Valparaiso;Callao;1;1;319426;Priority;fully cellular containership;74453;5.599305556
18101682;46462249;2014;6;6/5/2014 0:28;6/10/2014 14:51;10325;7584;Gaolan;Rizhao;1;1;275720;Xibohe;fully cellular containership;44911;5.599305556
18018857;49966848;2015;4;4/25/2015 9:00;4/30/2015 23:23;15856;2375;Tianjin;Guangzhou;1;1;255540;Zhong Wai Yun Humen;fully cellular containership;43025;5.599305556
18646475;50359026;2015;6;5/28/2015 12:02;6/3/2015 2:25;5767;21;San Vicente;Bahia Blanca;1;1;392558;;fully cellular containership;34284;5.599305556
18587284;52488005;2015;11;11/18/2015 11:37;11/24/2015 2:00;4264;941;Nemrut Bay;Algeciras;1;1;369846;;fully cellular containership;43096;5.599305556
18130885;53108147;2016;1;1/12/2016 8:20;1/17/2016 22:43;1165;4011;Singapore;Darwin;1;1;277129;Ningpo;fully cellular containership;22900;5.599305556
18636545;52568454;2015;11;11/25/2015 9:25;11/30/2015 23:49;4008;5718;Durban;Luanda;1;1;378590;;fully cellular containership;42567;5.6
18580733;53150235;2016;1;1/15/2016 21:32;1/21/2016 11:56;2369;7607;Papeete;Noumea;1;1;367660;CMA CGM Auckland;fully cellular containership;34409;5.6
18457244;54161729;2016;4;4/14/2016 23:36;4/20/2016 14:00;5295;3272;Busan;Laem Chabang;1;1;355968;Hermann Wulff;fully cellular containership;38975;5.6
18575943;45901240;2014;4;4/11/2014 15:27;4/17/2014 5:52;3458;686;Valencia;Limassol;1;1;367412;MSC Monterey;fully cellular containership;63397;5.600694444
18848676;45963477;2014;4;4/17/2014 23:39;4/23/2014 14:04;8640;8048;Nansha;Tanjung Pelepas;1;1;9774824;;fully cellular containership;65458;5.600694444
18151786;49874190;2015;4;4/16/2015 16:25;4/22/2015 6:50;115;4779;Port Klang;Kuching;1;1;279002;PDZ Maju;fully cellular containership;8515;5.600694444
18120369;48063020;2014;11;10/26/2014 11:56;11/1/2014 2:21;5802;774;Tokyo;Zhangjiagang;1;1;276669;Yi Sheng;fully cellular containership;6816;5.600694444
18816278;48795271;2015;1;1/4/2015 18:04;1/10/2015 8:29;6406;8640;Bayuquan;Nansha;1;1;5796249;;fully cellular containership;63187;5.600694444
18670843;49954604;2015;4;4/23/2015 21:32;4/29/2015 11:57;4337;115;Chiwan;Port Klang;1;1;429558;;fully cellular containership;52173;5.600694444
18556603;53080372;2016;1;1/10/2016 16:22;1/16/2016 6:47;4008;5718;Durban;Luanda;1;1;365613;Maersk Jaipur;fully cellular containership;39446;5.600694444
18846074;46521040;2014;6;6/7/2014 2:00;6/12/2014 16:26;1165;219;Singapore;Fremantle;1;1;9635803;;fully cellular containership;21918;5.601388889
18173428;50474256;2015;6;6/6/2015 0:36;6/11/2015 15:02;3456;1733;Marsaxlokk;Khoms;1;1;281249;HH West;fully cellular containership;8965;5.601388889
18278106;50617984;2015;6;6/17/2015 14:53;6/23/2015 5:19;1886;2993;Kemi;Hamburg;1;1;314032;Jork;fully cellular containership;11385;5.601388889
18874496;52256161;2015;11;10/28/2015 22:30;11/3/2015 12:56;1182;3272;Shanghai;Laem Chabang;1;1;10997283;;fully cellular containership;22071;5.601388889
18782165;54247111;2016;4;4/22/2016 4:46;4/27/2016 19:12;5295;3272;Busan;Laem Chabang;1;1;1940458;;fully cellular containership;33541;5.601388889
18807727;54954925;2016;6;6/22/2016 12:38;6/28/2016 3:04;6053;9692;Zhoushan;Yangshan;1;1;4702808;;fully cellular containership;139467;5.601388889
18208746;50471288;2015;6;6/6/2015 7:33;6/11/2015 22:00;219;1165;Fremantle;Singapore;1;1;290424;APL Malaysia;fully cellular containership;66910;5.602083333
18279924;52308365;2015;11;11/3/2015 6:45;11/8/2015 21:12;3529;1182;Ho Chi Minh City;Shanghai;1;1;314405;Tasanee;fully cellular containership;39418;5.602083333
17997476;54225972;2016;4;4/19/2016 17:10;4/25/2016 7:37;5112;3218;Argentia;Reykjavik;1;1;237020;Bruarfoss;fully cellular containership;8627;5.602083333
18544051;48325851;2014;11;11/19/2014 13:00;11/25/2014 3:27;5899;1697;Kotka;Bremerhaven;1;1;364766;Kornett;fully cellular containership;11434;5.602083333
18846229;54658819;2016;6;5/28/2016 1:32;6/2/2016 15:59;219;1165;Fremantle;Singapore;1;1;9635804;;fully cellular containership;21925;5.602083333
18472240;52243351;2015;11;10/27/2015 9:15;11/1/2015 23:43;4474;4604;Mundra;Jeddah;1;1;356629;CMA CGM Carmen;fully cellular containership;100680;5.602777778
18252985;52369122;2015;11;11/8/2015 12:37;11/14/2015 3:05;8048;6512;Tanjung Pelepas;Yantian;1;1;307637;HS Columbia;fully cellular containership;68100;5.602777778
