move_pkid;move_id;year;month;departure;arrival;from_id;to_id;from_name;to_name;from_type;to_type;vessel_id;vessel_name;vessel_type;dwt;time
749758;;1977;3;07/03/1977 00:00;07/03/1977 00:00;4977;5605;Los Angeles;San Francisco;1;1;66331;Sea Ranger;fully cellular containership;25297;0
568344;;1977;3;07/03/1977 00:00;07/03/1977 00:00;4593;2151;Keelung;Kobe;1;1;47701;Jefferson;fully cellular containership;23170;0
302862;;1977;3;07/03/1977 00:00;07/03/1977 00:00;593;5802;Shimizu;Tokyo;1;1;22755;Golden Gate Bridge;fully cellular containership;17188;0
43845;;1977;3;07/03/1977 00:00;07/03/1977 00:00;3917;5942;Boston(USA);Saint John(CAN);1;1;146;Queensland Star;fully cellular containership;28037;0
357517;;1977;3;07/03/1977 00:00;07/03/1977 00:00;3705;1369;Santo Domingo;San Juan(PRI);1;1;27006;Apple;fully cellular containership;2175;0
97052;;1977;3;07/03/1977 00:00;07/03/1977 00:00;4067;2849;Brisbane;Sydney;1;1;4216;Ratih;fully cellular containership;12126;0
626420;;1977;3;07/03/1977 00:00;07/03/1977 00:00;5393;576;St. Petersburg;Antwerp;1;1;54337;Eridan;fully cellular containership;6270;0
155601;;1977;3;07/03/1977 00:00;07/03/1977 00:00;576;830;Antwerp;Rotterdam;1;1;10111;Northern Triumph;fully cellular containership;18992;0
371291;;1977;3;07/03/1977 00:00;07/03/1977 00:00;4246;1697;Flushing;Bremerhaven;1;1;27776;Jervis Bay;fully cellular containership;29262;0
67098;;1977;3;07/03/1977 00:00;07/03/1977 00:00;830;2248;Rotterdam;Felixstowe;1;1;2051;American Archer;fully cellular containership;15692;0
357516;;1977;3;07/03/1977 00:00;07/03/1977 00:00;1369;3705;San Juan(PRI);Santo Domingo;1;1;27006;Apple;fully cellular containership;2175;0
54130;;1977;3;07/03/1977 00:00;07/03/1977 00:00;3654;5048;Mina al Ahmadi;Dubai;1;1;1101;Al Shamiah;fully cellular containership;15763;0
99568;;1977;3;07/03/1977 00:00;07/03/1977 00:00;4593;5493;Keelung;Osaka;1;1;4371;Flamingo;fully cellular containership;7876;0
425652;;1977;3;07/03/1977 00:00;07/03/1977 00:00;1916;90;Hull;Apapa-Lagos;1;1;34503;A Cheng;fully cellular containership;4114;0
43523;;1977;3;08/03/1977 00:00;08/03/1977 00:00;1675;4492;Zeebrugge;London;1;1;141;Discovery;fully cellular containership;28225;0
178554;;1977;3;08/03/1977 00:00;08/03/1977 00:00;1697;830;Bremerhaven;Rotterdam;1;1;11770;Carmen Cara;fully cellular containership;39588;0
278806;;1977;3;08/03/1977 00:00;08/03/1977 00:00;2954;100;Eastham;Manchester(GBR);1;1;11064;Hub Usaha;fully cellular containership;6235;0
87169;;1977;3;08/03/1977 00:00;08/03/1977 00:00;1369;4572;San Juan(PRI);New York;1;1;3430;Arecibo;fully cellular containership;18172;0
169889;;1977;3;08/03/1977 00:00;08/03/1977 00:00;3915;1826;Bilbao;Pasajes;1;1;11163;Melissa;fully cellular containership;3260;0
259960;;1977;3;08/03/1977 00:00;08/03/1977 00:00;5521;889;Genoa;Fos;1;1;17757;Export Freedom;fully cellular containership;16605;0
96745;;1977;3;08/03/1977 00:00;08/03/1977 00:00;4572;2561;New York;Hampton Roads;1;1;4202;Chicago Express;fully cellular containership;31830;0
445537;;1977;3;08/03/1977 00:00;08/03/1977 00:00;2954;100;Eastham;Manchester(GBR);1;1;36136;City of Limassol;fully cellular containership;12319;0
